ID площадки,Домен,Трафик в сутки,Trust Flow,Citation Flow,ИКС,Траст GGL,Цена контекстной ссылки,Цена заметки,Цена статьи,Цена картинки
232330,rusvesna.su,350000,57,55,19100,7,5286,,6572,
289535,sport-weekend.com,110000,46,53,3040,10,,,1093,
271069,freesmi.by,100000,43,64,80,10,,,911,
370994,jebbox.ru,99000,77,54,10,9,588,476,793,476
368070,japanray.ru,96000,44,41,10,10,508,365,635,365
335618,tram23.ru,94000,64,53,140,10,1929,2000,2143,2286
290952,tlt.volga.news,93000,49,68,2560,10,,,729,
291908,dontimes.news,92000,46,65,60,10,,,911,
371122,istokmedia.ru,89000,49,43,0,10,539,396,635,396
272815,pfo.volga.news,89000,47,66,2560,10,,,729,
291270,makrab.news,88000,39,64,40,10,,,790,
290686,baby.dn.ua,86000,53,71,30,10,,,668,
290032,metaphysican.com,85000,43,63,80,10,,,753,
290941,gubernya63.ru,85000,50,71,110,10,,,911,
292347,pupilby.net,83000,42,62,20,10,,,668,
299356,pravda-nn.ru,83000,46,51,1490,10,,,7772,
351139,ardikon.ru,81000,46,39,10,7,412,318,508,318
131986,fedpress.ru,72000,62,55,3930,9,2429,,,
88429,altapress.ru,58000,55,56,5600,8,,,10000,
286761,tury.ru,54000,41,48,230,10,,,11415,
79639,prokazan.ru,53000,49,51,1740,8,2543,2543,2743,
242332,ostrov-city.com,50000,70,59,100,10,5715,5143,7143,7143
269748,sevastopol.su,45000,53,54,9150,10,,,6776,
356002,robosiri.org,40000,42,48,10,10,,,510,
369471,angel.kharkov.ua,37000,42,50,10,8,,,996,
372179,infoline24.net,37000,41,50,10,10,,,802,
295618,gazeta.a42.ru,36000,37,52,4530,9,,,10929,
372181,inspiredebusiness.com,35000,46,42,10,10,,,996,
365526,ykt.ru,35000,49,47,1160,10,,,11900,
355882,headlinesalert.com,33000,41,50,10,10,,,699,
372178,topreport24.com,33000,41,50,10,8,,,996,
372180,bigtopmagazine.com,33000,46,41,10,8,,,996,
234765,kam24.ru,32000,39,46,3380,10,4215,4215,4215,
365958,pulseheadline.net,32000,41,50,10,9,,,899,
356012,snodgers.com,32000,41,50,10,8,,,510,
124849,volga.news,32000,56,73,2560,10,1358,1358,1358,
355885,compromatbase.com,32000,40,49,20,9,,,699,
372174,hotfeed24.net,31000,41,50,10,9,,,802,
355745,criptanet.com,31000,44,50,10,10,,,996,
372176,pulseupdate.net,31000,41,50,10,8,,,899,
365070,onlymult.com,30000,77,56,150,10,4000,3572,4286,4286
372871,snapchatplanetsofficial.com,30000,41,46,10,10,,,699,
355746,status-auto.com,30000,40,49,40,10,,,996,
372872,top10ringtone.com,30000,39,47,10,7,,,699,
355880,kamyshlov.net,29000,41,50,20,10,,,996,
355881,thewebpirate.net,29000,41,50,30,7,,,996,
372177,sbsb.org.ua,29000,42,50,10,10,,,996,
356011,peb.com.ua,29000,41,50,30,10,,,996,
372863,fshparis.com,29000,41,46,10,10,,,608,
369470,besplatnoe.org,29000,41,50,10,8,,,996,
365957,nvmsk.com,29000,41,49,30,10,,,608,
372864,iplticket.net,29000,41,46,10,7,,,608,
372867,mp3indirdur.org,29000,41,46,10,10,,,510,
147790,v-tagile.ru,28000,38,44,3980,10,4143,4143,4143,
372868,piccolafesta.com,28000,41,46,30,7,,,510,
372173,coldlake.info,28000,41,50,10,8,,,802,
368046,sovetfrom.net,28000,41,50,10,10,,,996,
